problem,category,solution_hint
"Find the number of ways to choose 3 items from 10 without repetition.",Combinatorics,C(10,3) = 10!/(3!*7!) = 120.
"Prove Pascal's identity: C(n,k) = C(n-1,k-1) + C(n-1,k).",Combinatorics,Count directly: either the new element is chosen or not.
"How many anagrams does the word MISSISSIPPI have?",Combinatorics,11!/(4!*4!*2!*1!) = 34650.
"In how many ways can 3 boys and 3 girls sit alternately in a row?",Combinatorics,3! ways for boys * 3! for girls * 2 (who starts) = 72.
"Prove that C(2n,n) is divisible by n+1.",Combinatorics,This is the Catalan number; use ballot problem argument.
"Find the coefficient of x^3 in the expansion of (2x+3)^5.",Combinatorics,C(5,3)*(2x)^3*3^2 = 10*8*9*x^3 = 720x^3.
"How many 4-digit numbers have digits summing to 10?",Combinatorics,Use stars and bars with constraints on leading digit.
"In a class of 30 students, find the probability that no two share a birthday.",Combinatorics,365*364*...*336 / 365^30 (birthday problem setup).
"Find all positive integer solutions to x + y + z = 10.",Combinatorics,Stars and bars: C(9,2) = 36 solutions.
"Find the sum of the first n natural numbers.",Series & Sequences,S = n(n+1)/2 proved by pairing or induction.
"Prove by induction that 1^2 + 2^2 + ... + n^2 = n(n+1)(2n+1)/6.",Series & Sequences,Base case n=1; assume true for k; show for k+1.
"Find the 100th term of the arithmetic sequence 3, 7, 11, 15, ...",Series & Sequences,a_n = 3 + (n-1)*4; a_100 = 399.
"Find the sum of the first 20 terms of the geometric sequence 2, 6, 18, ...",Series & Sequences,S = 2*(3^20 - 1)/(3-1) = 3^20 - 1.
"Determine if the series sum(1/n^2) converges.",Series & Sequences,Yes; compare with integral 1/x^2 dx or use Basel problem result pi^2/6.
"Find the general term of the Fibonacci sequence.",Series & Sequences,Use Binet's formula: F_n = (phi^n - psi^n)/sqrt(5).
"Sum the series: 1 + 2r + 3r^2 + 4r^3 + ... for |r|<1.",Series & Sequences,Differentiate geometric series formula to get 1/(1-r)^2.
"Show that the harmonic series 1 + 1/2 + 1/3 + ... diverges.",Series & Sequences,Group terms: 1/3+1/4>1/2, 1/5+...+1/8>1/2, etc.; sum unbounded.
"Find the limit: lim(n→∞) (1 + 1/n)^n.",Series & Sequences,This is the definition of e ≈ 2.71828.
"Determine the radius of convergence of sum(x^n/n!).",Series & Sequences,Ratio test: |x_{n+1}/x_n| = |x|/(n+1) → 0; radius = ∞.
"If P(A) = 0.4 and P(B) = 0.3 and A,B independent, find P(A∪B).",Probability,P(A∪B)=P(A)+P(B)-P(A∩B)=0.4+0.3-0.12=0.58.
"A fair die is rolled twice. Find P(sum = 7).",Probability,Favourable pairs: (1,6),(2,5),(3,4),(4,3),(5,2),(6,1) = 6/36 = 1/6.
"Find E[X] for X ~ Binomial(n=10, p=0.5).",Probability,E[X] = np = 10*0.5 = 5.
"What is the probability that a randomly chosen integer is divisible by 3 or 5?",Probability,By inclusion-exclusion: 1/3 + 1/5 - 1/15 = 7/15.
"In a bag with 3 red and 5 blue balls, find P(2 red | draw 3 without replacement).",Probability,C(3,2)*C(5,1)/C(8,3) = 3*5/56 = 15/56.
"State and apply Bayes' theorem to a medical test with 99% accuracy.",Probability,P(disease|+) = P(+|disease)*P(disease)/P(+); base rate matters heavily.
"Find the variance of a fair six-sided die.",Probability,E[X]=3.5; E[X^2]=(1+4+9+16+25+36)/6=91/6; Var=91/6-49/4=35/12.
"Two cards are drawn without replacement from a deck. Find P(both aces).",Probability,4/52 * 3/51 = 12/2652 = 1/221.
"In the Monty Hall problem, should you switch?",Probability,Yes. Switching gives 2/3 probability; staying gives 1/3.
"Find the probability that in a group of 23 people, two share a birthday.",Probability,1 - 365!/((365-23)!*365^23) ≈ 0.5073; slightly over 50%.
"Evaluate the integral of x^2 from 0 to 3.",Calculus,∫x^2 dx = x^3/3; [0 to 3] = 27/3 - 0 = 9.
"Find the derivative of f(x) = x^3 sin(x).",Calculus,Product rule: f'(x) = 3x^2 sin(x) + x^3 cos(x).
"Find all critical points of f(x) = x^3 - 3x + 2.",Calculus,f'(x)=3x^2-3=0 gives x=±1; classify via second derivative.
"Compute lim(x→0) sin(x)/x.",Calculus,The limit equals 1 by L'Hôpital or geometric squeeze theorem.
"Find the area between y=x^2 and y=x from x=0 to x=1.",Calculus,∫(x-x^2)dx from 0 to 1 = 1/2 - 1/3 = 1/6.
"Solve the ODE dy/dx = 2xy with y(0)=1.",Calculus,Separate variables: dy/y=2x dx; ln|y|=x^2+C; y=e^(x^2).
"Find the maximum value of f(x) = -x^2 + 4x - 1.",Calculus,Complete the square or use vertex formula: x=2, f(2)=3.
"Compute the integral of 1/(1+x^2) from -∞ to ∞.",Calculus,Equals arctan(x) from -∞ to ∞ = π/2-(-π/2) = π.
"Use the chain rule to differentiate f(x) = sin(x^2).",Calculus,f'(x) = cos(x^2) * 2x = 2x cos(x^2).
"Find the Taylor series of e^x about x=0.",Calculus,e^x = sum(x^n/n!, n=0 to ∞) = 1 + x + x^2/2! + x^3/3! + ...
